time,ax,ay,az,aT
0.0020,-0.6411,0.1361,-6.1741,6.209
0.0030,0.0001,0.3096,-6.0392,6.047
0.0090,0.0322,0.8054,-4.3027,4.378
0.0200,0.2623,0.8441,-1.8200,2.023
0.0260,0.1156,0.5964,1.0434,1.207
0.0370,-0.1349,0.1007,1.8217,1.829
0.0490,-0.1556,0.1545,1.7894,1.803
0.0570,-1.0732,-0.0688,1.3045,1.691
0.0670,-1.4933,0.1932,0.5718,1.611
0.0760,-1.6334,0.0111,-1.9158,2.518
0.0850,-1.7169,0.5838,-2.2141,2.862
0.1070,-1.7050,0.5796,-2.2117,2.852
0.1090,-0.3495,1.3021,-1.9240,2.349
0.1170,0.1714,1.5307,-1.7248,2.312
0.1310,0.1821,1.5477,-1.7347,2.332
0.1360,0.4400,1.7100,-1.2332,2.154
0.1460,-0.2145,1.4178,0.0665,1.435
0.1550,-0.2182,1.4389,0.0543,1.456
0.1680,-2.3679,0.6608,0.0686,2.459
0.1760,-2.4291,0.6457,0.3112,2.533
0.1860,-2.1278,0.7819,0.7469,2.387
0.1960,-1.5495,0.9624,0.9165,2.041
0.2060,-0.6776,1.0815,0.3789,1.331
0.2170,0.1202,1.2410,-0.3721,1.301
0.2270,0.0737,1.2246,-0.3617,1.279
0.2370,1.9860,1.6556,-0.3296,2.607
0.2460,1.9364,1.6541,-0.3272,2.568
0.2560,1.3927,1.1508,1.2689,2.208
0.2660,1.3386,1.1635,1.2639,2.178
0.2760,0.6144,0.3484,1.6326,1.779
0.2870,0.4235,-0.2947,2.3122,2.369
0.2960,-0.3777,-1.0749,2.2811,2.550
0.3090,-0.4865,-1.0800,2.2931,2.581
0.3170,3.5965,-1.8235,3.5725,5.387
0.3250,3.4696,-1.8268,3.5884,5.315
0.3430,3.8567,-1.5777,2.1342,4.682
0.3520,2.0846,-1.9449,-0.7111,2.938
0.3570,1.0479,-1.9981,-1.2638,2.586
0.3660,0.8747,-2.0123,-1.2226,2.512
0.3760,-0.2881,-1.8775,-0.6177,1.997
0.3890,-0.3980,-1.5661,0.6302,1.734
0.3960,-0.2072,-1.5276,1.4703,2.130
0.4070,-0.3749,-1.4860,1.4926,2.139
0.4170,0.4348,-1.8092,1.5945,2.451
0.4280,0.3225,-1.7742,1.6094,2.417
0.4470,0.3486,-1.6433,1.0716,1.993
0.4510,-0.0678,-1.3862,0.4770,1.467
0.4560,-0.1343,-1.3192,-0.2156,1.343
0.4730,-0.0802,-1.3891,-1.0362,1.735
0.4770,-0.2034,-1.5299,-1.8898,2.440
0.4900,-0.4215,-1.6617,-2.3162,2.882
0.4960,-0.4066,-1.4429,-1.6937,2.262
0.5050,0.5239,-1.0921,-1.1900,1.698
0.5160,0.3059,-1.0652,-1.0971,1.559
0.5270,1.2388,-0.6428,-0.7916,1.604
0.5360,2.4314,-0.2199,-0.7601,2.557
0.5450,2.3607,-0.1753,-0.7460,2.482
0.5570,2.2458,-0.3196,-0.9215,2.448
0.5670,1.2043,-0.7477,-1.0934,1.790
0.5760,0.4919,-0.8892,-1.3960,1.727
0.5920,-0.1996,-0.7144,-1.7797,1.928
0.5960,-0.8115,-0.4348,-1.9625,2.168
0.6070,-1.6723,-0.3745,-2.0718,2.689
0.6170,-1.6553,-0.5185,-2.3254,2.901
0.6250,-1.7746,-0.5285,-2.2362,2.903
0.6360,-0.6323,-1.4056,-2.5301,2.963
0.6490,-1.4627,-1.6209,-2.4648,3.293
0.6590,-2.1987,-1.4478,-2.3667,3.540
0.6690,-2.2811,-1.3896,-2.3374,3.549
0.6760,-2.2302,-0.7233,-0.9975,2.548
0.6890,-2.2909,-0.6369,-0.9993,2.579
0.6960,-1.5569,-0.2627,1.1396,1.947
0.7080,-1.6413,-0.1994,1.1737,2.028
0.7160,-1.8658,-1.3660,0.8643,2.469
0.7260,-2.6993,-1.6013,-0.0450,3.139
0.7370,-3.8532,-1.2820,-0.5525,4.098
0.7450,-5.1282,-0.5613,-0.8023,5.221
0.7570,-5.6661,-0.1137,-0.8408,5.729
0.7680,-5.9620,0.0300,-0.8517,6.023
0.7780,-4.9954,-0.9292,-0.3059,5.090
0.7860,-5.0350,-0.9068,-0.2804,5.124
0.7950,-3.9406,-2.3535,-0.3787,4.605
0.8100,-3.6596,-3.1387,-1.5426,5.062
0.8160,-4.5335,-2.6281,-3.2193,6.150
0.8290,-4.8952,-2.3873,-4.6501,7.161
0.8430,-4.9661,-2.4290,-4.5498,7.160
0.8460,-5.1706,-2.3715,-5.1528,7.675
0.8570,-5.1192,-2.0606,-5.1905,7.576
0.8650,-4.4559,-1.9241,-4.1989,6.418
0.8760,-3.5189,-1.6168,-3.1868,5.015
0.8870,-3.6710,-1.5872,-3.0108,5.006
0.8960,-2.4290,-0.2783,-2.2968,3.355
0.9070,-2.3988,0.4015,-1.3626,2.788
0.9190,-1.9464,0.3429,-1.0113,2.220
0.9320,-2.0429,0.4314,-0.9260,2.284
0.9440,-0.1828,0.1119,-1.0527,1.074
0.9490,0.9453,-0.0077,-0.8728,1.287
0.9590,0.8064,0.0260,-0.6549,1.039
0.9670,2.4397,0.0930,-0.6224,2.520
0.9780,9.9797,0.1900,0.0751,9.982
0.9870,12.9166,-0.4013,1.7104,13.036
0.9970,12.5757,-0.8951,2.0781,12.778
1.0090,10.5986,-1.0777,1.4565,10.752
1.0190,10.5021,-1.0315,1.7121,10.691
1.0270,8.5035,-1.4239,1.4441,8.742
1.0390,5.0323,-2.1074,-0.4808,5.477
1.0470,4.9750,-2.0398,-0.3298,5.387
1.0600,4.2834,-2.4699,-1.6064,5.199
1.0700,4.4373,-2.2547,-3.0675,5.847
1.0770,1.9214,-2.3852,-2.9304,4.239
1.0940,1.4122,-3.0327,-2.5583,4.211
1.0970,-0.1392,-2.0093,-1.0850,2.288
1.1080,-1.3262,-1.1237,0.4014,1.784
1.1260,-1.3951,-0.8139,2.5713,3.036
1.1300,0.0663,0.1916,2.8634,2.871
1.1410,0.0434,0.3383,2.8541,2.874
1.1470,1.0540,1.0488,2.3521,2.783
1.1610,0.7890,1.6406,-0.0156,1.821
1.1680,-1.2060,1.7803,-1.5591,2.656
1.1770,-3.0639,2.0166,-2.3229,4.342
1.2070,-4.0331,3.0455,-2.9208,5.837
1.2090,-3.6498,3.5721,-2.8941,5.870
1.2110,-2.1346,3.4903,-2.3124,4.700
1.2180,-0.9465,3.5105,-1.9538,4.128
1.2310,2.0461,3.6913,-0.8936,4.314
1.2400,5.2523,3.9583,0.3043,6.584
1.2500,5.4333,3.9289,0.7555,6.747
1.2610,4.6568,3.2171,0.5195,5.684
1.2680,3.5965,2.4163,0.0281,4.333
1.2790,3.6678,2.2246,-0.0704,4.290
1.2890,2.5518,1.6365,0.0826,3.033
1.2980,2.1030,1.1931,0.8284,2.556
1.3100,2.8046,0.5085,2.1048,3.543
1.3210,3.5865,-0.2070,3.2509,4.845
1.3320,3.6397,-0.4929,3.8547,5.324
1.3400,3.5362,-1.6026,3.3551,5.131
1.3480,2.2100,-1.4378,2.7338,3.798
1.3580,0.3640,-0.5304,2.3003,2.389
1.3710,-1.3974,0.5845,3.1066,3.456
1.3780,-1.3669,0.5681,3.0151,3.359
1.3880,-2.2230,1.4062,3.3993,4.298
1.4000,-1.6725,1.4563,4.2481,4.792
1.4130,0.5591,0.2525,4.1842,4.229
1.4200,1.3366,-0.1917,3.3630,3.624
1.4300,0.6536,-0.2064,2.5105,2.602
1.4420,-1.0128,-0.4808,0.8420,1.402
1.4480,-2.5489,-0.7626,-1.0204,2.850
1.4650,-4.7532,-1.1184,-3.6092,6.072
1.4680,-5.8254,-0.8563,-5.4647,8.033
1.4780,-7.8263,-0.7303,-6.9801,10.512
1.4930,-7.8210,-0.7572,-6.9648,10.500
1.4980,-7.1661,-0.6758,-6.1231,9.450
1.5080,-6.6877,-0.8615,-5.8879,8.952
1.5190,-6.9062,-1.5372,-5.8055,9.152
1.5280,-6.9046,-1.5588,-5.7830,9.140
1.5390,-8.1169,-1.9009,-5.6259,10.057
1.5500,-7.9278,-1.7684,-4.8803,9.476
1.5590,-7.1472,-1.1768,-3.6953,8.132
1.5690,-5.4561,-0.2463,-2.4331,5.979
1.5800,-2.4619,0.5442,-2.0574,3.254
1.5890,-2.4937,0.5703,-1.9780,3.234
1.5980,3.3835,0.5753,-1.2176,3.642
1.6120,5.3534,0.5617,-0.6023,5.416
1.6180,7.2784,0.4497,0.1700,7.294
1.6280,9.4186,0.6009,1.1914,9.513
1.6390,9.3924,0.5970,1.3517,9.508
1.6480,11.9794,1.1195,2.9277,12.383
1.6600,11.9684,1.0951,3.0733,12.405
1.6730,13.2250,1.7368,3.7234,13.848
1.6790,13.1487,2.2081,3.2478,13.723
1.6920,12.8142,1.9007,2.5827,13.209
1.6980,9.9859,0.9199,1.2543,10.106
1.7080,10.0008,0.8893,1.2271,10.115
1.7180,5.9930,-0.1056,1.2051,6.114
1.7350,2.9744,-1.2309,0.8724,3.335
1.7390,2.9917,-1.2619,0.8322,3.352
1.7490,-1.2107,-3.1090,1.1352,3.524
1.7590,-2.7502,-3.3152,1.5675,4.584
1.7680,-2.7590,-3.2729,1.5052,4.538
1.7790,-4.3951,-3.0885,1.9253,5.706
1.7900,-4.4212,-2.9856,1.8332,5.641
1.7980,-4.5086,-2.7336,1.8536,5.589
1.8110,-4.6319,-2.3862,1.4960,5.421
1.8260,-3.7118,-1.6675,0.5119,4.101
1.8300,-4.0660,-2.0435,-0.3504,4.564
1.8400,-7.2470,-2.7904,-1.0697,7.839
1.8500,-8.8710,-2.3381,-0.9883,9.227
1.8600,-9.6010,-2.5609,-0.6734,9.959
1.8690,-9.8677,-2.8313,-1.2726,10.344
1.8790,-9.6020,-3.2605,-2.2789,10.393
1.8900,-9.6026,-3.2832,-2.1824,10.380
1.8990,-10.3420,-3.3266,-3.0473,11.283
1.9170,-11.0754,-3.5154,-2.1727,11.821
1.9190,-10.8254,-3.9379,-1.5528,11.624
1.9300,-10.8300,-3.9356,-1.4786,11.617
1.9430,-8.4176,-4.7640,-0.3246,9.678
1.9480,-5.7418,-4.4076,-0.3889,7.249
1.9640,-2.1981,-4.1289,-0.2978,4.687
1.9800,2.1234,-3.6943,-0.1568,4.264
1.9830,2.0659,-3.4968,0.0103,4.062
1.9880,8.9701,-0.6596,0.6055,9.015
1.9990,11.1994,1.0688,1.2706,11.322
2.0090,12.1660,2.2576,1.3222,12.444
2.0190,11.7124,2.6363,0.1791,12.007
2.0310,9.8802,2.2749,-2.0566,10.345
2.0410,7.9775,1.8231,-3.5604,8.924
2.0480,6.2252,1.1328,-4.8071,7.946
2.0580,4.5621,0.3005,-5.2261,6.944
2.0680,3.1092,-0.2093,-4.1658,5.202
2.0790,3.0942,-0.1392,-4.2473,5.257
2.0920,1.0675,0.3954,1.3169,1.741
2.0990,0.4217,1.2688,2.5960,2.920
2.1090,0.4044,1.4033,2.4949,2.891
2.1180,0.5884,2.2130,3.0257,3.795
2.1300,1.6151,2.6559,2.7340,4.140
2.1410,1.8750,2.8482,2.5368,4.250
2.1500,0.9553,2.3742,2.2564,3.412
2.1580,0.9550,2.3700,2.1801,3.359
2.1680,-0.4117,2.3991,1.4647,2.841
2.1780,-2.4879,3.2686,-0.6707,4.162
2.1890,-4.5657,4.0793,-2.0587,6.459
2.1990,-6.8136,4.5787,-2.9136,8.711
2.2110,-5.0580,3.1809,-2.0455,6.315
2.2190,-3.0778,2.5212,-1.8392,4.383
2.2290,-0.2679,1.4702,-1.4513,2.083
2.2390,2.0293,0.3236,-0.8605,2.228
2.2540,3.3139,-0.5733,-0.4200,3.389
2.2600,2.7382,-0.9077,-0.3627,2.907
2.2710,2.6676,-0.9957,0.2367,2.857
2.2810,4.4136,-0.7469,1.1432,4.620
2.2890,6.3975,-0.4136,1.7262,6.639
2.2990,7.4852,-0.5413,1.5816,7.670
2.3140,7.1047,-1.3366,1.1744,7.324
2.3220,5.3584,-1.5179,0.6003,5.602
2.3310,3.4931,-1.5617,-0.1124,3.828
2.3400,3.0870,-1.3907,-0.3883,3.408
2.3500,3.5319,-0.9673,-1.0522,3.810
2.3600,2.9440,0.1425,-1.4060,3.266
2.3690,3.3692,-0.6610,-0.3768,3.454
2.3790,3.5268,-1.4830,0.5440,3.864
2.3950,3.4512,-1.0475,1.4623,3.892
2.4020,3.2747,-0.7973,2.0092,3.924
2.4100,2.2039,-0.9907,1.8114,3.020
2.4250,0.4377,-1.6164,0.5840,1.773
2.4350,0.4177,-1.5406,0.5740,1.696
2.4390,-4.4663,-2.5718,-1.5462,5.381
2.4510,-4.4756,-2.5202,-1.5973,5.379
2.4600,-8.9613,-2.0808,-2.0711,9.430
2.4690,-8.9677,-2.0174,-2.1679,9.444
2.4800,-10.2775,-1.5523,-1.6452,10.523
2.4890,-9.7868,-1.1118,-1.5162,9.966
2.5010,-8.9217,-0.9061,-1.5913,9.108
