time,ax,ay,az,aT
0.0040,-0.2690,-0.5730,1.2374,1.390
0.0040,0.1720,-0.3095,1.1748,1.227
0.0050,0.1555,-0.2983,1.1685,1.216
0.0050,0.9333,-0.1316,0.8726,1.284
0.0500,0.9043,-0.1224,0.8676,1.259
0.0510,1.1485,-0.0567,0.7147,1.354
0.0510,1.7153,-0.1667,0.2943,1.748
0.0520,1.8349,-0.1293,-0.0741,1.841
0.0580,1.7132,0.0127,0.0591,1.714
0.0660,1.4170,-0.3856,0.4562,1.538
0.0800,1.1003,-0.7586,0.4874,1.423
0.0980,1.1010,-0.8793,0.5915,1.528
0.1000,0.5516,-0.4419,0.4877,0.859
0.1080,0.4738,-0.1759,0.0604,0.509
0.1190,0.4237,-0.2624,-0.2695,0.567
0.1250,0.4433,-0.3811,-0.6059,0.842
0.1390,0.4033,-0.3522,-0.8522,1.006
0.1490,0.3112,-0.1407,-1.1874,1.236
0.1600,0.2890,0.0522,-1.5011,1.530
0.1660,0.0703,-0.0496,-1.8649,1.867
0.1840,-0.2513,-0.2346,-2.3474,2.372
0.1880,-0.3580,-0.2575,-2.5814,2.619
0.2230,-0.3353,-0.1962,-2.3607,2.392
0.2280,-0.3724,-0.2106,-1.8270,1.876
0.2320,-0.4323,-0.2481,-1.4674,1.550
0.2340,-0.4416,-0.2910,-1.3065,1.409
0.2540,-0.3511,-0.2225,-1.3567,1.419
0.2600,-0.4612,-0.1166,-1.8060,1.868
0.2640,-0.4817,0.0172,-1.9552,2.014
0.2670,-0.4388,0.1542,-1.6180,1.684
0.2790,-0.2742,0.2428,-1.2124,1.267
0.2860,-0.2123,0.0841,-1.3045,1.324
0.3030,-0.2324,0.0564,-1.6746,1.692
0.3060,-0.4074,0.4339,-1.6309,1.736
0.3190,-0.2890,0.7102,-1.3383,1.542
0.3360,0.3069,0.4033,-0.0007,0.507
0.3390,0.0584,0.4374,-0.0040,0.441
0.3520,1.5367,0.2890,0.0553,1.565
0.3870,1.5149,0.2768,0.0643,1.541
0.3890,1.2369,0.2549,0.0226,1.263
0.4010,0.5391,0.6181,-0.3251,0.882
0.4020,-0.0132,0.9929,-0.7244,1.229
0.4050,-0.1275,0.7807,-0.7630,1.099
0.4050,0.2354,0.1795,-0.3216,0.437
0.4180,0.3964,-0.2849,0.2642,0.555
0.4280,0.7475,-0.3885,0.6147,1.043
0.4360,0.7482,-0.4445,0.0536,0.872
0.4450,0.4996,-0.3298,-0.9950,1.161
0.4560,0.3977,-0.2510,-1.8432,1.902
0.4660,0.4280,-0.3260,-2.4737,2.531
0.4780,0.4815,-0.3731,-2.6487,2.718
0.5010,1.0779,-0.4274,-2.7885,3.020
0.5040,1.7448,-0.3203,-2.7607,3.282
0.5090,2.3484,-0.3857,-2.2580,3.281
0.5170,1.9336,-0.8469,-1.4608,2.567
0.5300,0.9101,-1.2332,-0.8828,1.769
0.5450,-0.7171,-1.2647,-0.3371,1.492
0.5480,-2.2847,-0.8650,0.1063,2.445
0.5630,-2.9612,-0.5226,0.3137,3.023
0.5680,-3.3883,-0.6683,0.8748,3.563
0.5780,-3.2935,-1.0451,1.1340,3.637
0.5860,-2.8134,-1.1419,0.8407,3.151
0.5980,-2.5700,-0.5860,1.4174,2.993
0.6160,-0.9457,-0.5181,2.3854,2.618
0.6180,-0.0028,-0.6039,3.3183,3.373
0.6290,1.1617,-0.6304,3.8916,4.110
0.6480,2.7539,-0.3640,4.5787,5.356
0.6550,3.0909,0.8632,4.7121,5.701
0.6790,3.5794,1.4126,4.3159,5.782
0.6820,3.1113,1.4026,3.0833,4.599
0.6840,2.5808,1.4629,2.3867,3.807
0.6870,1.6876,1.7409,1.4487,2.824
0.6980,-0.2411,2.1885,0.9243,2.388
0.7260,-2.2231,2.6504,1.0844,3.625
0.7280,-3.5144,3.1740,1.4903,4.964
0.7290,-2.5505,2.1101,2.4037,4.091
0.7380,-1.2341,1.1449,1.9626,2.586
0.7500,-0.5094,0.9459,1.3855,1.753
0.7590,0.1101,1.7232,1.2890,2.155
0.7680,1.9249,1.0628,0.6560,2.295
0.8050,3.0341,0.6631,0.4263,3.135
0.8080,1.9688,0.5022,1.6992,2.649
0.8100,0.3045,0.2528,2.1030,2.140
0.8130,-1.9225,-0.0344,2.5782,3.216
0.8200,-3.8187,-0.4493,2.4852,4.578
0.8490,-4.7774,-0.8082,1.6033,5.104
0.8530,-5.4473,-0.7286,1.2714,5.641
0.8560,-4.7134,-0.2861,1.4919,4.952
0.8720,-3.7571,0.2754,1.2543,3.970
0.8730,-2.6919,1.1742,1.5011,3.298
0.8790,-0.5832,-0.1248,2.5373,2.606
0.8860,0.9651,-1.5273,1.7189,2.494
0.9000,1.4207,-1.8731,1.6021,2.845
0.9090,1.6195,-1.9214,2.2015,3.341
0.9170,1.7483,-1.7842,2.3392,3.422
0.9260,1.9052,-1.9122,2.0153,3.369
0.9370,2.0436,-2.2516,1.7021,3.485
0.9480,2.8824,-2.7270,1.5777,4.270
0.9810,3.3971,-3.4001,1.0592,4.922
0.9830,5.0813,-3.8237,0.4674,6.376
0.9870,5.9559,-4.3305,0.3053,7.370
0.9890,6.4226,-4.9305,-0.6416,8.122
0.9990,6.4236,-5.1142,-1.8524,8.417
1.0230,5.7607,-5.2379,-3.1294,8.391
1.0240,4.2615,-5.6635,-4.3040,8.292
1.0260,3.0110,-5.7576,-4.8711,8.121
1.0370,2.2313,-5.6471,-4.6393,7.641
1.0500,1.7447,-5.3544,-3.6741,6.724
1.0590,2.0416,-4.7503,-2.2409,5.635
1.0670,3.0724,-4.4284,-1.1081,5.503
1.0930,3.9621,-4.5013,-0.8562,6.057
1.0980,4.5186,-4.7505,-0.5869,6.583
1.1000,4.4819,-4.3943,-0.9833,6.353
1.1170,3.9968,-3.5084,-1.5635,5.543
1.1200,3.5603,-2.5317,-1.9333,4.777
1.1350,3.7417,-1.7714,-1.4377,4.382
1.1470,4.7540,-1.1186,-0.1681,4.887
1.1580,7.2574,0.1531,2.0570,7.545
1.1590,8.2669,1.0637,3.4774,9.031
1.1660,8.4647,2.4458,5.2475,10.255
1.1770,7.5498,3.5927,6.7848,10.768
1.1870,5.9462,4.9071,7.6149,10.836
1.2040,4.6246,5.5063,7.6636,10.509
1.2180,3.1457,5.5642,7.0417,9.510
1.2190,2.5291,5.5307,6.5294,8.923
1.2260,2.0709,5.8121,5.9764,8.590
1.2370,0.9826,6.2832,5.5474,8.439
1.2470,-0.6656,6.7816,4.7909,8.330
1.2640,-2.1003,7.2481,3.9324,8.509
1.2700,-3.5910,7.6431,2.9908,8.959
1.2860,-4.3277,7.6600,2.4136,9.123
1.2870,-5.2004,7.5081,1.8641,9.321
1.2970,-6.0212,7.3176,1.6106,9.612
1.3450,-6.7334,7.1677,1.7966,9.997
1.3500,-8.3643,7.5901,2.5082,11.570
1.3530,-9.5085,8.0298,3.6622,12.973
1.3550,-9.4580,8.3562,3.9330,13.219
1.3820,-8.9212,8.4943,3.5970,12.833
1.3870,-7.9100,8.4547,2.7422,11.898
1.3880,-6.8538,8.0496,1.4017,10.665
1.3880,-6.4085,7.0404,-0.3656,9.527
1.3890,-6.4407,6.1807,-2.8627,9.374
1.3990,-6.9722,5.3308,-4.3574,9.799
1.4310,-7.3814,4.1263,-5.1608,9.907
1.4340,-7.7452,3.1822,-5.0267,9.766
1.4350,-7.3075,2.2755,-3.5292,8.428
