time;gFx;gFy;gFz;TgF
0,004000;0,0244;0,4210;0,9538;1,043
0,005000;0,0222;0,4207;0,9589;1,047
0,005000;0,0183;0,4173;0,9631;1,050
0,005000;0,0178;0,4156;0,9663;1,052
0,005000;0,0156;0,4141;0,9677;1,053
0,006000;0,0122;0,4107;0,9719;1,055
0,006000;0,0095;0,4058;0,9741;1,055
0,006000;0,0081;0,4048;0,9782;1,059
0,006000;0,0029;0,4014;0,9821;1,061
0,006000;0,0022;0,3990;0,9873;1,065
0,007000;0,0002;0,3975;0,9880;1,065
0,007000;-0,0005;0,3946;0,9968;1,072
0,007000;-0,0005;0,3946;0,9968;1,072
0,007000;-0,0010;0,3946;0,9990;1,074
0,008000;0,0017;0,3948;1,0029;1,078
0,008000;0,0034;0,3938;1,0068;1,081
0,008000;0,0029;0,3936;1,0078;1,082
0,008000;0,0037;0,3919;1,0124;1,086
0,009000;0,0054;0,3924;1,0134;1,087
0,011000;0,0054;0,3897;1,0161;1,088
0,013000;0,0054;0,3887;1,0181;1,090
0,014000;0,0042;0,3882;1,0188;1,090
0,016000;0,0020;0,3889;1,0237;1,095
0,019000;0,0000;0,3870;1,0254;1,096
0,020000;-0,0049;0,3885;1,0308;1,102
0,022000;-0,0081;0,3860;1,0339;1,104
0,024000;-0,0078;0,3858;1,0369;1,106
0,026000;-0,0064;0,3872;1,0391;1,109
0,028000;-0,0037;0,3872;1,0418;1,111
0,030000;-0,0015;0,3865;1,0415;1,111
0,033000;0,0029;0,3875;1,0400;1,110
0,037000;0,0081;0,3865;1,0398;1,109
0,038000;0,0105;0,3867;1,0381;1,108
0,038000;0,0178;0,3882;1,0359;1,106
0,060000;0,0227;0,3897;1,0290;1,101
0,069000;0,0247;0,3902;1,0222;1,094
0,070000;0,0288;0,3887;1,0141;1,086
0,070000;0,0322;0,3887;1,0024;1,076
0,071000;0,0357;0,3882;0,9890;1,063
0,071000;0,0349;0,3887;0,9817;1,056
0,072000;0,0364;0,3877;0,9653;1,041
0,072000;0,0354;0,3877;0,9423;1,020
0,073000;0,0362;0,3865;0,9345;1,012
0,073000;0,0332;0,3863;0,9274;1,005
0,074000;0,0308;0,3865;0,9125;0,991
0,074000;0,0293;0,3853;0,9064;0,985
0,075000;0,0269;0,3828;0,8964;0,975
0,076000;0,0225;0,3831;0,8849;0,965
0,076000;0,0225;0,3821;0,8810;0,961
0,076000;0,0191;0,3816;0,8720;0,952
0,077000;0,0149;0,3806;0,8644;0,945
0,077000;0,0132;0,3804;0,8622;0,942
0,078000;0,0068;0,3789;0,8561;0,936
0,078000;0,0044;0,3784;0,8536;0,934
0,081000;0,0017;0,3770;0,8571;0,936
0,083000;0,0000;0,3775;0,8573;0,937
0,086000;-0,0015;0,3762;0,8607;0,939
0,089000;-0,0022;0,3748;0,8666;0,944
0,091000;-0,0037;0,3721;0,8695;0,946
0,092000;-0,0034;0,3714;0,8788;0,954
0,094000;-0,0024;0,3682;0,8861;0,960
0,095000;-0,0032;0,3677;0,8913;0,964
0,097000;-0,0029;0,3670;0,9015;0,973
0,102000;-0,0034;0,3662;0,9098;0,981
0,104000;-0,0039;0,3665;0,9162;0,987
0,106000;-0,0049;0,3670;0,9233;0,994
0,107000;-0,0081;0,3694;0,9294;1,000
0,109000;-0,0105;0,3692;0,9325;1,003
0,110000;-0,0093;0,3701;0,9384;1,009
0,111000;-0,0093;0,3716;0,9455;1,016
0,114000;-0,0105;0,3718;0,9516;1,022
0,118000;-0,0071;0,3726;0,9567;1,027
0,120000;-0,0071;0,3726;0,9567;1,027
0,121000;-0,0022;0,3745;0,9597;1,030
0,122000;-0,0017;0,3750;0,9597;1,030
0,128000;0,0007;0,3750;0,9572;1,028
0,129000;0,0027;0,3731;0,9560;1,026
0,131000;0,0029;0,3718;0,9558;1,026
0,132000;0,0027;0,3684;0,9521;1,021
0,133000;0,0034;0,3684;0,9511;1,020
0,134000;0,0034;0,3672;0,9484;1,017
0,135000;0,0039;0,3621;0,9470;1,014
0,137000;0,0037;0,3601;0,9462;1,012
0,138000;0,0032;0,3604;0,9435;1,010
0,141000;0,0027;0,3618;0,9435;1,011
0,142000;0,0007;0,3640;0,9391;1,007
0,145000;-0,0017;0,3655;0,9369;1,006
0,146000;-0,0039;0,3655;0,9343;1,003
0,148000;-0,0083;0,3679;0,9299;1,000
0,150000;-0,0095;0,3689;0,9211;0,992
0,154000;-0,0120;0,3696;0,9211;0,993
0,155000;-0,0132;0,3670;0,9147;0,986
0,157000;-0,0103;0,3662;0,9147;0,985
0,159000;-0,0105;0,3655;0,9167;0,987
0,161000;-0,0103;0,3660;0,9213;0,991
0,162000;-0,0090;0,3628;0,9277;0,996
0,165000;-0,0078;0,3609;0,9325;1,000
0,167000;-0,0078;0,3594;0,9340;1,001
0,170000;-0,0093;0,3584;0,9391;1,005
0,171000;-0,0122;0,3582;0,9418;1,008
0,174000;-0,0127;0,3594;0,9421;1,008
0,178000;-0,0205;0,3601;0,9338;1,001
0,178000;-0,0205;0,3601;0,9338;1,001
0,179000;-0,0220;0,3604;0,9306;0,998
0,181000;-0,0230;0,3613;0,9208;0,989
0,183000;-0,0222;0,3640;0,9128;0,983
0,185000;-0,0208;0,3655;0,9079;0,979
0,189000;-0,0169;0,3672;0,9005;0,973
0,189000;-0,0132;0,3704;0,8908;0,965
0,191000;-0,0110;0,3716;0,8886;0,963
0,194000;-0,0054;0,3738;0,8829;0,959
0,196000;0,0012;0,3772;0,8759;0,954
0,198000;0,0024;0,3797;0,8729;0,952
0,201000;0,0071;0,3819;0,8663;0,947
0,201000;0,0112;0,3821;0,8619;0,943
0,204000;0,0169;0,3831;0,8580;0,940
0,204000;0,0191;0,3843;0,8566;0,939
0,206000;0,0222;0,3860;0,8566;0,940
