time,ax,ay,az,aT
0.0020,-3.4192,-0.9210,-10.4057,10.992
0.0070,-2.0544,-0.2453,-7.9017,8.168
0.0150,-1.7284,0.5175,-3.4600,3.902
0.0250,-1.6948,2.1708,2.2095,3.531
0.0350,-2.7322,3.7436,6.5365,8.013
0.0460,-3.9905,4.8057,6.8787,9.292
0.0580,-4.2423,5.1787,5.1793,8.464
0.0640,-2.8343,5.5603,3.8496,7.333
0.0800,-0.8417,5.8174,4.7782,7.575
0.0890,1.9689,6.0499,5.8835,8.666
0.0970,3.4089,5.3751,6.2676,8.933
0.1060,3.1507,3.8408,5.8509,7.675
0.1150,2.1505,3.1313,6.3109,7.366
0.1250,1.3966,2.3010,6.8317,7.343
0.1350,1.2251,1.3384,6.1988,6.459
0.1450,1.7881,0.5552,4.3629,4.748
0.1620,3.5872,0.2824,4.3128,5.617
0.1660,5.7443,-1.9513,2.5797,6.592
0.1790,7.5848,-2.9902,1.7043,8.329
0.1840,8.4155,-4.4921,0.6765,9.563
0.1960,8.3320,-6.8110,-1.1941,10.828
0.2060,7.8249,-8.1730,-3.6031,11.875
0.2150,6.4570,-8.1598,-6.2278,12.127
0.2270,3.8022,-7.4658,-8.0238,11.601
0.2350,2.6587,-7.6389,-8.2988,11.588
0.2450,2.7427,-7.9216,-9.4799,12.655
0.2550,2.6861,-7.9139,-9.4938,12.648
0.2650,5.4794,-7.4775,-7.7510,12.084
0.2790,7.4348,-7.3334,-5.9845,12.036
0.2870,8.3754,-6.5544,-3.5516,11.213
0.2980,8.5095,-6.1022,-0.4385,10.481
0.3080,8.2450,-5.9609,-0.5900,10.191
0.3150,7.0227,-3.8514,-2.2406,8.317
0.3250,5.6762,-4.1046,-2.9713,7.609
0.3350,3.8916,-3.9548,-2.4894,6.081
0.3470,2.9752,-2.9681,-0.3738,4.219
0.3570,2.4415,-2.3303,0.4510,3.405
0.3640,-0.7236,-0.7265,0.8365,1.323
0.3800,-5.2117,1.1026,1.6292,5.571
0.3850,-3.7205,0.4678,1.7907,4.155
0.3960,-1.7892,0.9975,0.4826,2.105
0.4070,3.1429,2.9553,1.3169,4.511
0.4150,5.2843,4.3609,2.5334,7.305
0.4250,5.1260,4.4238,2.5063,7.220
0.4340,6.9756,5.6054,11.4843,14.559
0.4460,5.9698,4.9099,12.7064,14.873
0.4560,1.5461,4.0152,12.0902,12.833
0.4660,-6.0056,4.2137,9.4474,11.961
0.4840,-10.2267,4.0866,8.0976,13.670
0.4860,-10.2353,2.7935,6.7513,12.576
0.4960,-8.3927,2.3907,5.0084,10.062
0.5150,-3.3084,1.5853,3.6237,5.157
0.5160,2.0483,0.4853,3.2215,3.848
