time;ax;ay;az;aT
0,0050;-0,8077;0,0422;-0,7959;1,135
0,0050;-0,5126;-0,0684;-1,2847;1,385
0,0060;-0,0684;-0,0480;-1,0223;1,026
0,0160;0,0886;0,0550;-0,5753;0,585
0,0330;-0,1366;0,1344;-0,1943;0,273
0,0690;-0,2214;0,1985;0,2442;0,385
0,0710;0,2986;0,2657;0,3215;0,513
0,0730;0,5390;0,2900;0,2918;0,678
0,0780;0,2471;0,2391;0,3357;0,480
0,0790;0,0233;0,1652;0,1106;0,200
0,0880;-0,1385;-0,0537;-0,2308;0,274
0,0960;-0,3067;-0,2235;-0,0535;0,383
0,1040;-0,4606;-0,3103;0,4664;0,725
0,1170;-0,5060;-0,1484;0,2523;0,585
0,1330;-0,4613;0,0921;-0,1168;0,485
0,1360;-0,2633;0,2126;-0,2159;0,401
0,1470;-0,0635;0,3171;-0,4439;0,549
0,1860;-0,0422;0,2913;0,1917;0,351
0,1890;-0,2899;0,1999;0,9685;1,031
0,1910;-0,5335;-0,0243;0,5101;0,739
0,1930;-0,3799;-0,3346;-0,0720;0,511
0,1960;-0,2247;-0,4529;-0,2764;0,576
0,2100;0,2201;-0,2799;0,0210;0,357
0,2170;0,5716;0,0814;0,2839;0,643
0,2250;0,4035;0,3583;-0,4503;0,703
0,2420;0,2813;0,4224;-0,5040;0,715
0,2460;0,3351;0,4621;-0,3194;0,654
0,2600;0,0763;0,3954;-0,9839;1,063
0,2680;-0,3654;0,3447;-0,8470;0,985
0,2760;-0,4979;0,3597;-0,0425;0,616
0,2920;-0,3043;0,3197;0,1127;0,456
0,3090;0,3959;-0,0346;0,0348;0,399
0,3090;1,1574;-0,2570;0,6103;1,333
0,3250;0,8283;0,0068;-0,0893;0,833
0,3290;1,4006;0,3258;-1,4769;2,061
0,3630;1,4333;0,5319;-2,2199;2,695
0,3640;1,0330;0,9367;-2,7902;3,119
0,3650;0,4745;1,2969;-2,9936;3,297
0,3660;-0,1492;1,3565;-2,5322;2,877
0,3780;-0,4748;1,1046;-1,6723;2,060
0,3880;-0,5102;0,4061;-1,1343;1,308
0,4160;-0,4721;0,1175;-0,9793;1,093
0,4210;-0,1757;0,1653;-0,9860;1,015
0,4220;0,2354;0,4157;-1,0770;1,178
0,4280;0,4620;0,5519;-0,8160;1,088
0,4370;0,6486;0,5450;-0,3724;0,925
0,4470;1,2874;0,4910;-0,4395;1,446
0,4550;2,0010;0,4497;-0,7826;2,195
0,4760;2,5843;0,3804;-1,3225;2,928
0,4770;2,6028;0,2415;-1,7368;3,138
0,4860;1,9938;0,0811;-2,0514;2,862
0,5030;1,3346;-0,1141;-2,1884;2,566
0,5100;0,5254;-0,4207;-1,7550;1,880
0,5180;0,2882;-0,6975;-1,0180;1,267
0,5420;0,7882;-0,9578;-0,4188;1,309
0,5440;1,9998;-0,9207;-1,6039;2,724
0,5450;2,2335;-0,7132;-3,2920;4,042
0,5560;1,2252;-0,1891;-5,0012;5,153
0,5660;-0,6528;0,1940;-6,0244;6,063
0,5870;-1,7804;0,0586;-5,9722;6,232
0,5880;-3,0143;0,4326;-5,4087;6,207
0,5960;-0,1700;0,0540;-5,0731;5,076
0,6050;0,6653;-0,6085;-4,5820;4,670
0,6270;0,2965;-1,4975;-3,7552;4,054
0,6310;-0,5641;-1,9861;-3,3024;3,895
0,6380;-0,6061;-1,9421;-2,6091;3,309
0,6510;0,0274;-1,4362;-2,0017;2,464
0,6550;0,5462;-1,4464;-1,8084;2,379
0,6710;0,7316;-1,6473;-1,4105;2,289
0,6760;3,0211;-1,7095;-0,7663;3,555
0,6920;3,8079;-1,6267;-1,1423;4,296
0,6960;3,8306;-2,0818;-2,3864;4,970
0,7130;-1,1990;-0,6444;-8,9866;9,089
0,7150;0,0031;-0,5908;-7,0909;7,115
0,7240;2,6264;-2,1625;-3,8352;5,127
0,7390;1,6015;-1,8827;-2,7222;3,677
0,7810;-0,6498;-2,7898;-2,2061;3,616
0,7820;-1,0816;-3,5082;-0,2991;3,683
0,7830;-0,3551;-3,3128;0,0935;3,333
0,7840;-0,8005;-2,8124;-1,4189;3,250
0,7850;-0,1841;-2,8223;-2,1998;3,583
0,7970;1,1065;-2,2067;-2,0381;3,201
0,8070;2,9595;-1,5232;-2,3002;4,046
0,8160;2,9906;-1,1284;-1,6642;3,604
0,8440;1,8210;-1,3473;-1,1166;2,525
0,8500;1,1054;-2,7209;-0,1441;2,940
0,8510;0,6793;-2,4612;0,1338;2,557
0,8560;-0,4692;-2,3298;1,1912;2,658
0,8700;-0,6180;-2,4423;0,4289;2,556
0,8770;-1,1369;-2,6377;-0,2670;2,885
0,8840;-0,9925;-2,9664;-0,3871;3,152
0,9060;0,4955;-2,4941;-0,7803;2,660
0,9070;0,9713;-1,4267;-0,8343;1,917
0,9150;1,9899;-1,0106;0,5258;2,293
0,9340;2,8872;-0,9275;1,7922;3,523
0,9450;2,3029;-0,7117;2,2071;3,268
0,9470;1,0343;-1,0264;2,7382;3,102
0,9660;0,1170;-1,5444;1,6620;2,272
0,9670;-0,0144;-1,3066;-0,3415;1,351
0,9750;-0,3545;-0,9000;-0,8604;1,295
0,9870;1,3730;-0,1795;-0,7651;1,582
0,9970;2,4019;0,5981;0,0440;2,476
1,0050;3,6213;0,9833;1,5925;4,076
1,0340;3,9247;1,1660;2,8958;5,015
1,0350;3,7692;1,3133;3,9268;5,599
1,0360;3,1700;1,2856;4,0330;5,288
1,0560;4,7164;-0,3317;3,4347;5,844
1,0620;3,0179;0,5025;3,0848;4,345
1,0660;-0,2655;2,6439;2,4210;3,595
1,0750;-2,1416;3,3513;2,3690;4,629
1,0850;-1,7022;2,4328;1,4230;3,293
1,1010;0,7004;1,0807;1,6352;2,081
1,1060;1,6771;0,9997;2,7146;3,344
1,1150;1,3594;1,4948;3,0808;3,684
1,1300;1,3150;1,8324;3,5171;4,178
1,1350;2,0584;2,3295;3,5440;4,714
1,1470;2,4111;2,7326;2,9678;4,700
1,1550;3,1864;3,2447;2,1729;5,040
1,1680;4,2117;4,1208;1,5688;6,098
1,1760;4,2569;4,7134;1,8936;6,627
1,1860;4,0845;5,2422;2,4945;7,098
1,1980;3,6316;5,6906;2,7013;7,271
1,2050;3,1471;6,1582;2,7005;7,424
1,2170;3,0888;6,6424;3,1611;7,978
1,2260;3,6230;7,1539;4,1781;9,042
1,2380;3,9058;7,5006;4,6786;9,665
1,2460;3,7536;7,9071;4,8570;10,010
1,2760;3,2404;8,2144;4,6348;9,973
1,2790;2,4920;8,4138;4,0778;9,676
1,2800;1,9650;8,3392;3,6540;9,314
1,2880;1,2955;8,2458;3,4467;9,031
1,2960;1,4518;8,3504;3,7908;9,285
1,3050;3,1533;8,4623;5,0735;10,358
1,3180;4,4416;8,1989;5,7870;10,974
1,3250;4,5016;7,8355;5,2574;10,455
1,3360;3,6848;7,4174;3,8453;9,131
1,3470;3,0689;6,7662;2,1504;7,735
1,3560;2,8310;6,2992;1,6247;7,095
1,3670;2,6758;5,8649;1,6223;6,647
1,3750;2,6215;5,4731;1,9356;6,370
1,4050;2,5996;5,0467;1,8986;5,986
1,4070;2,3464;4,5905;1,5950;5,396
1,4080;2,3206;4,2366;1,5004;5,058
1,4190;2,4580;3,8904;1,5712;4,863
1,4240;2,2678;3,4806;1,3579;4,371
1,4400;1,8733;3,0402;0,8730;3,676
1,4430;1,8508;2,5821;0,7048;3,254
1,4850;1,9433;1,9946;0,9988;2,958
1,4870;1,8418;1,5854;1,1806;2,702
